"ECO_ID","ECO_NAME","BIOME_NAME","REALM"
135,"Admiralty Islands lowland rain forests","Tropical & Subtropical Moist Broadleaf Forests","Australasia"
785,"Aegean and Western Turkey sclerophyllous and mixed forests","Mediterranean Forests, Woodlands & Scrub","Palearctic"
807,"Afghan Mountains semi-desert","Deserts & Xeric Shrublands","Palearctic"
404,"Ahklun and Kilbuck Upland Tundra","Tundra","Nearctic"
722,"Al-Hajar foothill xeric woodlands and shrublands","Temperate Grasslands, Savannas & Shrublands","Palearctic"
723,"Al-Hajar montane woodlands and shrublands","Temperate Grasslands, Savannas & Shrublands","Palearctic"
721,"Alai-Western Tian Shan steppe","Temperate Grasslands, Savannas & Shrublands","Palearctic"
808,"Alashan Plateau semi-desert","Deserts & Xeric Shrublands","Palearctic"
369,"Alaska Peninsula montane taiga","Boreal Forests/Taiga","Nearctic"
405,"Alaska-St. Elias Range tundra","Tundra","Nearctic"
88,"Albany thickets","Mediterranean Forests, Woodlands & Scrub","Afrotropic"
345,"Alberta-British Columbia foothills forests","Temperate Conifer Forests","Nearctic"
1,"Albertine Rift montane forests","Tropical & Subtropical Moist Broadleaf Forests","Afrotropic"
406,"Aleutian Islands tundra","Tundra","Nearctic"
328,"Allegheny Highlands forests","Temperate Broadleaf & Mixed Forests","Nearctic"
689,"Alps conifer and mixed forests","Temperate Conifer Forests","Palearctic"
749,"Altai alpine meadow and tundra","Montane Grasslands & Shrublands","Palearctic"
690,"Altai montane forest and forest steppe","Temperate Conifer Forests","Palearctic"
724,"Altai steppe and semi-desert","Temperate Grasslands, Savannas & Shrublands","Palearctic"
439,"Alto Paran<U+00E1> Atlantic forests","Tropical & Subtropical Moist Broadleaf Forests","Neotropic"
611,"Amazon-Orinoco-Southern Caribbean mangroves","Mangroves","Neotropic"
741,"Amur meadow steppe","Flooded Grasslands & Savannas","Palearctic"
786,"Anatolian conifer and deciduous mixed forests","Mediterranean Forests, Woodlands & Scrub","Palearctic"
218,"Andaman Islands rain forests","Tropical & Subtropical Moist Broadleaf Forests","Indomalayan"
77,"Angolan montane forest-grassland","Montane Grasslands & Shrublands","Afrotropic"
34,"Angolan mopane woodlands","Tropical & Subtropical Grasslands, Savannas & Shrublands","Afrotropic"
35,"Angolan scarp savanna and woodlands","Tropical & Subtropical Grasslands, Savannas & Shrublands","Afrotropic"
36,"Angolan wet miombo woodlands","Tropical & Subtropical Grasslands, Savannas & Shrublands","Afrotropic"
196,"Antipodes Subantarctic Islands tundra","Tundra","Australasia"
330,"Appalachian Piedmont forests","Temperate Broadleaf & Mixed Forests","Nearctic"
329,"Appalachian mixed mesophytic forests","Temperate Broadleaf & Mixed Forests","Nearctic"
331,"Appalachian-Blue Ridge forests","Temperate Broadleaf & Mixed Forests","Nearctic"
644,"Appenine deciduous montane forests","Temperate Broadleaf & Mixed Forests","Palearctic"
520,"Apure-Villavicencio dry forests","Tropical & Subtropical Dry Broadleaf Forests","Neotropic"
809,"Arabian desert","Deserts & Xeric Shrublands","Palearctic"
810,"Arabian sand desert","Deserts & Xeric Shrublands","Palearctic"
811,"Arabian-Persian Gulf coastal plain desert","Deserts & Xeric Shrublands","Palearctic"
440,"Araucaria moist forests","Tropical & Subtropical Moist Broadleaf Forests","Neotropic"
314,"Aravalli west thorn scrub forests","Deserts & Xeric Shrublands","Indomalayan"
597,"Araya and Paria xeric scrub","Deserts & Xeric Shrublands","Neotropic"
407,"Arctic coastal tundra","Tundra","Nearctic"
408,"Arctic foothills tundra","Tundra","Nearctic"
346,"Arizona Mountains forests","Temperate Conifer Forests","Nearctic"
181,"Arnhem Land tropical savanna","Tropical & Subtropical Grasslands, Savannas & Shrublands","Australasia"
598,"Atacama desert","Deserts & Xeric Shrublands","Neotropic"
441,"Atlantic Coast restingas","Tropical & Subtropical Moist Broadleaf Forests","Neotropic"
347,"Atlantic coastal pine barrens","Temperate Conifer Forests","Nearctic"
193,"Australian Alps montane grasslands","Montane Grasslands & Shrublands","Australasia"
812,"Azerbaijan shrub desert and steppe","Deserts & Xeric Shrublands","Palearctic"
813,"Badghyz and Karabil semi-desert","Deserts & Xeric Shrublands","Palearctic"
552,"Bahamian pineyards","Tropical & Subtropical Coniferous Forests","Neotropic"
612,"Bahamian-Antillean mangroves","Mangroves","Neotropic"
442,"Bahia coastal forests","Tropical & Subtropical Moist Broadleaf Forests","Neotropic"
443,"Bahia interior forests","Tropical & Subtropical Moist Broadleaf Forests","Neotropic"
521,"Baj<U+00ED>o dry forests","Tropical & Subtropical Dry Broadleaf Forests","Neotropic"
426,"Baja California desert","Deserts & Xeric Shrublands","Nearctic"
646,"Balkan mixed forests","Temperate Broadleaf & Mixed Forests","Palearctic"
522,"Balsas dry forests","Tropical & Subtropical Dry Broadleaf Forests","Neotropic"
647,"Baltic mixed forests","Temperate Broadleaf & Mixed Forests","Palearctic"
814,"Baluchistan xeric woodlands","Deserts & Xeric Shrublands","Palearctic"
136,"Banda Sea Islands moist deciduous forests","Tropical & Subtropical Moist Broadleaf Forests","Australasia"
564,"Belizian pine savannas","Tropical & Subtropical Grasslands, Savannas & Shrublands","Neotropic"
565,"Beni savanna","Tropical & Subtropical Grasslands, Savannas & Shrublands","Neotropic"
409,"Beringia lowland tundra","Tundra","Nearctic"
410,"Beringia upland tundra","Tundra","Nearctic"
137,"Biak-Numfoor rain forests","Tropical & Subtropical Moist Broadleaf Forests","Australasia"
348,"Blue Mountains forests","Temperate Conifer Forests","Nearctic"
