"id","GID_0","COUNTRY","n_cells"
1,"ABW","Aruba",4
2,"AFG","Afghanistan",1006
3,"AGO","Angola",1701
4,"AIA","Anguilla",4
5,"ALA","<U+00C5>land",21
6,"ALB","Albania",55
8,"ARE","United Arab Emirates",134
9,"ARG","Argentina",4583
10,"ARM","Armenia",53
11,"ASM","American Samoa",8
12,"ATA","Antarctica",10
13,"ATF","French Southern Territories",54
14,"ATG","Antigua and Barbuda",8
15,"AUS","Australia",11922
16,"AUT","Austria",156
17,"AZE","Azerbaijan",145
18,"BDI","Burundi",36
19,"BEL","Belgium",65
20,"BEN","Benin",154
21,"BES","Bonaire, Sint Eustatius and Saba",8
22,"BFA","Burkina Faso",363
23,"BGD","Bangladesh",219
24,"BGR","Bulgaria",202
25,"BHR","Bahrain",7
26,"BHS","Bahamas",192
27,"BIH","Bosnia and Herzegovina",92
29,"BLR","Belarus",451
30,"BLZ","Belize",52
31,"BMU","Bermuda",3
32,"BOL","Bolivia",1468
33,"BRA","Brazil",11565
34,"BRB","Barbados",3
35,"BRN","Brunei",11
36,"BTN","Bhutan",56
37,"BVT","Bouvet Island",1
38,"BWA","Botswana",810
39,"CAF","Central African Republic",815
40,"CAN","Canada",30660
41,"CCK","Cocos Islands",2
42,"CHE","Switzerland",76
43,"CHL","Chile",1606
44,"CHN","China",15440
45,"Z02","China",8
46,"Z03","China",45
47,"Z08","China",3
48,"CIV","C<U+00F4>te d'Ivoire",435
49,"CMR","Cameroon",610
50,"COD","Democratic Republic of the Congo",3037
51,"COG","Republic of the Congo",451
52,"COK","Cook Islands",27
53,"COL","Colombia",1537
54,"COM","Comoros",14
55,"CPV","Cabo Verde",28
56,"CRI","Costa Rica",92
57,"CUB","Cuba",273
58,"CUW","Cura<U+00E7>ao",7
59,"CXR","Christmas Island",2
60,"CYM","Cayman Islands",7
61,"CYP","Cyprus",14
62,"CZE","Czechia",161
63,"DEU","Germany",775
64,"DJI","Djibouti",34
65,"DMA","Dominica",4
66,"DNK","Denmark",178
67,"DOM","Dominican Republic",96
68,"DZA","Algeria",3434
69,"ECU","Ecuador",397
70,"EGY","Egypt",1488
71,"ERI","Eritrea",208
72,"ESH","Western Sahara",411
73,"ESP","Spain",985
