"id","GID_0","COUNTRY","GID_1","NAME_1","n_cells"
1,"AFG","Afghanistan","AFG.1_1","Badakhshan",70
2,"AFG","Afghanistan","AFG.2_1","Badghis",32
3,"AFG","Afghanistan","AFG.3_1","Baghlan",32
4,"AFG","Afghanistan","AFG.4_1","Balkh",29
5,"AFG","Afghanistan","AFG.5_1","Bamyan",23
6,"AFG","Afghanistan","AFG.6_1","Daykundi",28
7,"AFG","Afghanistan","AFG.7_1","Farah",76
8,"AFG","Afghanistan","AFG.8_1","Faryab",34
9,"AFG","Afghanistan","AFG.9_1","Ghazni",38
10,"AFG","Afghanistan","AFG.10_1","Ghor",56
11,"AFG","Afghanistan","AFG.11_1","Hilmand",85
12,"AFG","Afghanistan","AFG.12_1","Hirat",91
13,"AFG","Afghanistan","AFG.13_1","Jawzjan",18
14,"AFG","Afghanistan","AFG.14_1","Kabul",8
15,"AFG","Afghanistan","AFG.15_1","Kandahar",81
16,"AFG","Afghanistan","AFG.16_1","Kapisa",4
17,"AFG","Afghanistan","AFG.17_1","Khost",7
18,"AFG","Afghanistan","AFG.18_1","Kunar",5
19,"AFG","Afghanistan","AFG.19_1","Kunduz",13
20,"AFG","Afghanistan","AFG.20_1","Laghman",7
21,"AFG","Afghanistan","AFG.21_1","Logar",6
22,"AFG","Afghanistan","AFG.22_1","Nangarhar",12
23,"AFG","Afghanistan","AFG.23_1","Nimroz",62
24,"AFG","Afghanistan","AFG.24_1","Nuristan",16
25,"AFG","Afghanistan","AFG.25_1","Paktika",32
26,"AFG","Afghanistan","AFG.26_1","Paktya",9
27,"AFG","Afghanistan","AFG.27_1","Panjshir",5
28,"AFG","Afghanistan","AFG.28_1","Parwan",8
29,"AFG","Afghanistan","AFG.29_1","Samangan",17
30,"AFG","Afghanistan","AFG.30_1","Sari Pul",23
31,"AFG","Afghanistan","AFG.31_1","Takhar",20
32,"AFG","Afghanistan","AFG.32_1","Uruzgan",19
33,"AFG","Afghanistan","AFG.33_1","Wardak",14
34,"AFG","Afghanistan","AFG.34_1","Zabul",26
35,"AGO","Angola","AGO.1_1","Bengo",47
36,"AGO","Angola","AGO.2_1","Benguela",58
37,"AGO","Angola","AGO.3_1","Bi<U+00E9>",96
38,"AGO","Angola","AGO.4_1","Cabinda",9
39,"AGO","Angola","AGO.5_1","Cuando Cubango",269
40,"AGO","Angola","AGO.6_1","Cuanza Norte",31
41,"AGO","Angola","AGO.7_1","Cuanza Sul",78
42,"AGO","Angola","AGO.8_1","Cunene",110
43,"AGO","Angola","AGO.9_1","Huambo",44
44,"AGO","Angola","AGO.10_1","Hu<U+00ED>la",109
45,"AGO","Angola","AGO.11_1","Luanda",7
46,"AGO","Angola","AGO.12_1","Lunda Norte",143
47,"AGO","Angola","AGO.13_1","Lunda Sul",102
48,"AGO","Angola","AGO.14_1","Malanje",107
49,"AGO","Angola","AGO.15_1","Moxico",269
50,"AGO","Angola","AGO.16_1","Namibe",86
51,"AGO","Angola","AGO.17_1","U<U+00ED>ge",83
52,"AGO","Angola","AGO.18_1","Zaire",53
54,"AIA","Anguilla","AIA.15_1","Dog Island",1
62,"AIA","Anguilla","AIA.8_1","Sandy Hill",1
63,"AIA","Anguilla","AIA.17_1","Scrub Island",1
64,"AIA","Anguilla","AIA.18_1","Sombrero Island",1
66,"AIA","Anguilla","AIA.10_1","Stoney Ground",1
70,"AIA","Anguilla","AIA.14_1","West End",1
71,"ALA","<U+00C5>land","ALA.1_2","Archipelago",18
72,"ALA","<U+00C5>land","ALA.2_2","Countryside",9
74,"ALB","Albania","ALB.1_1","Berat",2
75,"ALB","Albania","ALB.2_1","Dib<U+00EB>r",4
76,"ALB","Albania","ALB.3_1","Durr<U+00EB>s",2
77,"ALB","Albania","ALB.4_1","Elbasan",6
78,"ALB","Albania","ALB.5_1","Fier",3
79,"ALB","Albania","ALB.6_1","Gjirokast<U+00EB>r",6
80,"ALB","Albania","ALB.7_1","Kor<U+00E7><U+00EB>",7
81,"ALB","Albania","ALB.8_1","Kuk<U+00EB>s",4
82,"ALB","Albania","ALB.9_1","Lezh<U+00EB>",4
83,"ALB","Albania","ALB.10_1","Shkod<U+00EB>r",5
84,"ALB","Albania","ALB.11_1","Tiran<U+00EB>",5
85,"ALB","Albania","ALB.12_1","Vlor<U+00EB>",7
93,"ARE","United Arab Emirates","ARE.1_1","Abu Dhabi",114
94,"ARE","United Arab Emirates","ARE.2_1","Ajman",1
95,"ARE","United Arab Emirates","ARE.3_1","Dubai",8
96,"ARE","United Arab Emirates","ARE.4_1","Fujairah",1
97,"ARE","United Arab Emirates","ARE.5_1","Ras Al-Khaimah",6
98,"ARE","United Arab Emirates","ARE.6_1","Sharjah",2
99,"ARE","United Arab Emirates","ARE.7_1","Umm al-Qaywayn",2
100,"ARG","Argentina","ARG.1_1","Buenos Aires",540
101,"ARG","Argentina","ARG.2_1","Catamarca",147
102,"ARG","Argentina","ARG.3_1","Chaco",148
103,"ARG","Argentina","ARG.4_1","Chubut",441
104,"ARG","Argentina","ARG.5_1","Ciudad de Buenos Aires",1
105,"ARG","Argentina","ARG.6_1","C<U+00F3>rdoba",250
106,"ARG","Argentina","ARG.7_1","Corrientes",131
107,"ARG","Argentina","ARG.8_1","Entre R<U+00ED>os",117
108,"ARG","Argentina","ARG.9_1","Formosa",107
109,"ARG","Argentina","ARG.10_1","Jujuy",75
110,"ARG","Argentina","ARG.11_1","La Pampa",220
111,"ARG","Argentina","ARG.12_1","La Rioja",136
112,"ARG","Argentina","ARG.13_1","Mendoza",236
113,"ARG","Argentina","ARG.14_1","Misiones",46
114,"ARG","Argentina","ARG.15_1","Neuqu<U+00E9>n",157
115,"ARG","Argentina","ARG.16_1","R<U+00ED>o Negro",354
116,"ARG","Argentina","ARG.17_1","Salta",222
